,bias,sentiment,pos,PosScore,NegScore,Gloss,c2,bias probability,Unbiased probability,loglikelihood
0,"[730, 1421]","[1304, 107, 173, 84, 483]",n,0.0,0.0,the 9th letter of the Roman alphabet,i,0.18145933605534922,0.09328104012201033,0.6654147117550229
1,"[18, 340]","[324, 7, 3, 1, 23]",n,0.125,0.375,the emotion of intense dislike; a feeling of dislike so strong that it demands action,hate,0.04351451026362454,0.002424541398520104,2.8874520592586914
2,"[5, 4]","[4, 0, 2, 1, 2]",n,0.125,0.0,a room in a hospital or clinic staffed and equipped to provide emergency care to persons requiring immediate medical treatment,er,0.0006380426724871633,0.0007656446521642434,-0.18231299565233922
3,"[15, 4]","[5, 0, 1, 6, 7]",n,0.0,0.0,"the act of pursuing in an effort to overtake or capture; ""the culprit started to run and the cop took off in pursuit""",chase,0.0006380426724871633,0.0020417190724379823,-1.1631422486640655
4,"[15, 4]","[5, 0, 1, 6, 7]",n,0.0,0.0,a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time,chase,0.0006380426724871633,0.0020417190724379823,-1.1631422486640655
5,"[7, 101]","[100, 1, 2, 2, 3]",n,0.0,0.0,female of any member of the dog family,bitch,0.01301607051873813,0.0010208595362189911,2.5455398327460506
6,"[7, 101]","[100, 1, 2, 2, 3]",n,0.0,0.125,"informal terms for objecting; ""I have a gripe about the service here""",bitch,0.01301607051873813,0.0010208595362189911,2.5455398327460506
7,"[7, 101]","[100, 1, 2, 2, 3]",n,0.125,0.0,"a person (usually but not necessarily a woman) who is thoroughly disliked; ""she said her son thought Hillary was a bitch""",bitch,0.01301607051873813,0.0010208595362189911,2.5455398327460506
8,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"activity directed toward making or doing something; ""she checked several points needing further work""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
9,"[98, 78]","[70, 9, 9, 29, 59]",n,0.375,0.0,"performance of moral or religious acts; ""salvation by deeds""; ""the reward for good works""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
10,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"the occupation for which you are paid; ""he is looking for employment""; ""a lot of people are out of work""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
11,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"the total output of a writer or artist (or a substantial part of it); ""he studied the entire Wagnerian oeuvre""; ""Picasso's work can be divided into periods""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
12,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"buildings for carrying on industrial labor; ""they built a large plant to manufacture automobiles""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
13,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"a product produced or accomplished through the effort or activity or agency of a person or thing; ""it is not regarded as one of his more memorable works""; ""the symphony was hailed as an ingenious work""; ""he was indebted to the pioneering work of John Dewey""; ""the work of an active imagination""; ""erosion is the work of wind or water over time""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
14,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,a mine or quarry that is being or has been worked,work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
15,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,"a place where work is done; ""he arrived at work early today""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
16,"[98, 78]","[70, 9, 9, 29, 59]",n,0.0,0.0,the internal mechanism of a device,work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
17,"[98, 78]","[70, 9, 9, 29, 59]",n,0.125,0.0,"applying the mind to learning and understanding a subject (especially by reading); ""mastering a second language requires a lot of work""; ""no schools offer graduate study in interior design""",work,0.010081074225297179,0.012633136760710015,-0.22566343652595308
18,"[0, 14]","[7, 4, 0, 2, 1]",n,0.0,0.0,"a location other than here; that place; ""you can take it from there""",there,0.00191412801746149,0.0001276074420273739,2.7080587622438252
19,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,"(thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work; ""entropy increases as matter and energy in the universe degrade to an ultimate state of inert uniformity""",s,0.12199375897954562,0.2840541659529343,-0.8451950576424736
20,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,the 19th letter of the Roman alphabet,s,0.12199375897954562,0.2840541659529343,-0.8451950576424736
21,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,special police force in Nazi Germany founded as a personal bodyguard for Adolf Hitler in 1925; the SS administered the concentration camps,s,0.12199375897954562,0.2840541659529343,-0.8451950576424736
22,"[2225, 955]","[1503, 105, 242, 346, 984]",n,0.0,0.0,the United States intelligence agency that protects current and former presidents and vice presidents and their immediate families and protects distinguished foreign visitors; detects and apprehends counterfeiters; suppresses forgery of government securities and documents,s,0.12199375897954562,0.2840541659529343,-0.8451950576424736
23,"[10, 45]","[46, 1, 0, 1, 7]",n,0.75,0.0,morally objectionable behavior,evil,0.005869992586881902,0.0014036818623011128,1.4307546848323398
24,"[10, 45]","[46, 1, 0, 1, 7]",n,0.375,0.5,"the quality of being morally wrong in principle or practice; ""attempts to explain the origin of evil in the world""",evil,0.005869992586881902,0.0014036818623011128,1.4307546848323398
25,"[10, 45]","[46, 1, 0, 1, 7]",n,0.0,0.75,"that which causes harm or destruction or misfortune; ""the evil that men do lives after them; the good is oft interred with their bones""- Shakespeare",evil,0.005869992586881902,0.0014036818623011128,1.4307546848323398
26,"[0, 3]","[2, 0, 0, 0, 1]",n,0.0,0.0,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated,pineapple,0.0005104341379897306,0.0001276074420273739,1.386302922261506
27,"[8, 6]","[12, 0, 0, 0, 2]",n,0.0,0.0,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,pizza,0.0008932597414820285,0.001148466978246365,-0.2513058671392909
28,"[13, 80]","[76, 0, 4, 5, 8]",n,0.0,0.0,the 25th letter of the Roman alphabet,y,0.010336291294292045,0.0017865041883832345,1.7554003861987955
29,"[2, 231]","[212, 2, 3, 1, 15]",n,0.0,0.0,"(ethnic slur) extremely offensive name for a Black person; ""only a Black can call another Black a nigga""",nigga,0.029605180003404376,0.0003828223260821217,4.348133644139816
30,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.875,"disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room""",nasty,0.002296953620953788,0.001276074420273739,0.5877952260437344
31,"[9, 17]","[19, 0, 1, 2, 4]",a,0.125,0.75,"characterized by obscenity; ""had a filthy mouth""; ""foul language""; ""smutty jokes""",nasty,0.002296953620953788,0.001276074420273739,0.5877952260437344
32,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.75,"exasperatingly difficult to handle or circumvent; ""a nasty problem""; ""a good man to have on your side in a tight situation""",nasty,0.002296953620953788,0.001276074420273739,0.5877952260437344
33,"[9, 17]","[19, 0, 1, 2, 4]",a,0.0,0.875,"offensive or even (of persons) malicious; ""in a nasty mood""; ""a nasty accident""; ""a nasty shock""; ""a nasty smell""; ""a nasty trick to pull""; ""Will he say nasty things at my funeral?""- Ezra Pound",nasty,0.002296953620953788,0.001276074420273739,0.5877952260437344
34,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,the act of retaining something,keep,0.0012760853449743266,0.0021693265144653562,-0.5306196899205549
35,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,"the responsibility of a guardian or keeper; ""he left his car in my keeping""",keep,0.0012760853449743266,0.0021693265144653562,-0.5306196899205549
36,"[16, 9]","[9, 1, 2, 8, 5]",n,0.625,0.0,"conformity or harmony; ""his behavior was not in keeping with the occasion""",keep,0.0012760853449743266,0.0021693265144653562,-0.5306196899205549
37,"[16, 9]","[9, 1, 2, 8, 5]",n,0.0,0.0,a cell in a jail or prison,keep,0.0012760853449743266,0.0021693265144653562,-0.5306196899205549
