,class,tweet,score,sim
20390,1,RT @xtruthseekerx_: @NotoriousBeep blaxican,0.0,0.0
1411,1,&#8220;@Maxwell_Larsen: I'm jakes bitch&#8221;,0.0,0.0
5925,2,@elliottgianaris gook,0.0,0.0
795,1,#UMightNotGetIn &#128514;&#128514;&#128514; fucc nicca #BeerandTacOS #WeTheLastOnesLeft http://t.co/45FV79CV0z,0.0,0.0
2016,1,' August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .,0.0,0.0
16379,1,RT @MarkAdkins2: #projectdrugs&amp;bitches,0.0,0.0
4270,2,@NicoleADietrich chug pee,0.0,0.0
22785,1,Where's all my bitches....where did they goooo?,0.0,0.0
17157,1,RT @SCAR_49: @16stanleys @odale_ese118 hahah that niggah got hella checked ! Do your thang Uce. #PowerCouple,0.0,0.0
14295,1,RT @BallOut057: @1stBlocJeremiah when I'm 18 them bitches getting erased &#128588;,2.5455398327460506,0.0
4929,1,@TheKinzieWells @chansdav all 3 :) haha. Because I'm #thinkingofyou and your #dirtylove sexxy bitch!!,2.5455398327460506,0.0
18035,1,RT @WayneL_Jr: LMAOOOOOOO RT @Take_My_Advicee: What dum bitch made this http://t.co/siuxrh5Sms,2.5455398327460506,0.0
5984,1,@freeyungnwild where's ours at nigguh !,0.0,0.0
3068,1,@Dre_Day200 nig nog,0.0,0.0
18967,1,RT @emma3156: Quit hoggin the blunt bitch&#58373;,0.0,0.0
15805,2,"RT @JewJitsuGrl: @AdmiralAckbar3 @00_jackie @Darknight420 @allahthefairy &#128073; @TayyibN &#128072;
Tiny Jihadi http://t.co/PDIKbrvCJ8",-1.945901587913698,0.0
24442,2,so uncivilized,0.0,0.0
9356,2,GA Charlie @Charlie4927 @sholzbee @DorisTafoya1 @cat_lmbo @Jagauress @Walter_lars @lynnemrnp @AmyMek @Justin_Awe,0.2876906335933962,0.0
6022,1,@giannarromano Fuckin moulinyan &#127814;,0.0,0.0
2637,1,@BloodOfJupiter yeah...bitch!,0.0,0.0
23813,0,faggot http://t.co/tkPokv3ncd,0.0,0.0
23815,0,faggots http://t.co/DMKbGhai1z,0.0,0.0
6032,0,@godrocamora416 faggot,0.0,0.0
9868,2,"Hoi, fai moke hau!!!!",0.0,0.0
950,2,&#128075; hi-ho http://t.co/FiC4FnRutZ,0.0,0.0
9359,2,GM....don't be the bird that didn't get the worm today #GoStampsGo84,-1.722758036599488,0.0
19306,1,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr,1.223783992763731,0.0
3312,1,@GrizzboAdams @wyattnuckels ight this Friday nig,0.0,0.0
13506,1,OKC nigguh,0.0,0.0
7237,2,@urbasicyabish nigor??,0.0,0.0
4956,0,@TheRealCVL and @CoryHolmes24 are faggots. Kbye.,0.0,0.0
6511,0,@kirstynehbu faggot,0.0,0.0
6880,2,@rachaelkbrown @BillyButlerKC @Oreo unexplainable!,0.0,0.0
15354,2,RT @GoatIdeas: Oreo Frappuccino http://t.co/o3QJ8M1nFf,0.0,0.0
11191,2,I'm Hun-gry,0.0,0.0
12857,2,Mint Oreos &gt;&gt;&gt;,0.0,0.0
767,2,#RuinAComedian @midnight Charlie Lapdance,0.0,0.0
19348,1,RT @jennydigi: @thotpockets &#9995;&#11088;&#65039;bitch,0.0,0.0
7312,1,@woohdakidd_74 already kno nicca,0.0,0.0
140,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0.0,0.0
23462,0,You're all faggot fuckheads.,0.0,0.0
21318,2,Terrifying. #leprechaun http://t.co/447wgkSVVG,0.0,0.0
12343,2,Legion of jig &#128557;&#128557;&#128557;,0.0,0.0
2256,2,"4&#8419;2&#8419;0&#8419;

moke up",0.0,0.0
2437,2,@AmosPOrr Congrats Amos! :),0.0,0.0
8689,2,Define wigga,0.0,0.0
5015,1,"@Toetancchamon Wilde nog even checken op Twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. Sterkte &amp; beterschap hoor!",0.5960281326082528,0.0
2381,1,@Adrian1_knowsu nigglet &#128530;&#128536;,0.0,0.0
16409,1,RT @Mbw44: &#8220;@luzerne_troy: &#8220;@balenceeaga: &#8220;@AienneLuckera: This bitch is awesome &#128588; http://t.co/Q5yhJTbcnr&#8221;need this,2.5455398327460506,0.0
6858,0,@prettygrl_rocky ugly dyke,0.0,0.0
781,2,#THEBOONDOCKS at 10:30 my nicca!,0.0,0.0
3012,0,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;,0.0,0.0
2122,1,' You messin with broke niggahs you gon be broke niggah &#1043323;&#1043323;&#1043323;&#1043323;&#10071;&#65039;,0.0,0.0
5868,1,@dmeis72 snag that ho!!!,0.0,0.0
16822,2,"RT @Oreo: Woah, the depth of this Ollusion is unreal. #Ollusions http://t.co/fuiVThvZyN",0.6931557417015607,0.0
21329,2,Thank you Charlie #FF @Charlie4927 @StacyDmomof5 @PattiSM74 @RevkahJC @cantUCIMblonde @Kacado,0.0,0.0
4281,1,@NoBeeetch @Iam_webster faggot,0.0,0.0
1829,1,&#8220;@koleworld4: @what_evaittakes lmaooo nooo hoe&#8221;oh ok&#128533;,0.0,0.0
21330,2,Thank you Charlie @Charlie4927 @StacyDmomof5 @cantUCIMblonde @RevkahJC @PattiSM74 @Kacado,0.0,0.0
5893,2,@dustincmc @KevinKillsThngs ghetto=black,0.0,0.0
21331,2,"Thank you Charlie, Happy Thursday @Charlie4927 @StacyDmomof5 @PattiSM74 @Kacado @cantUCIMblonde @RevkahJC",-1.0652673072589025,0.0
6878,1,@quilzel That's how rednecks eRecycle. http://t.co/6LRXIqSi8B,0.0,0.0
17112,1,RT @Rivera9Roberto: &#8220;@1ortiz1: You think she classy niggah but she really ratchet&#8221;,1.0065461708635486,0.0
3503,0,@ImpactParasite just fuckin roasted this faggot,0.0,0.0
4856,0,@Taylor_1017 faggot,0.0,0.0
845,2,"#metal only, honkies!",0.0,0.0
